frname,lastobs,newcount,oldcount
Accenteur alpin,2022,5,1
Accenteur mouchet,2022,172,18
Aigle botté,2022,17,0
Aigle royal,2022,37,7
Alouette des champs,2022,29,4
Autour des palombes,2021,2,1
Bécasse des bois,2022,3,0
Bécassine des marais,2022,1,0
Bec-croisé des sapins,2022,14,1
Bergeronnette des ruisseaux,2022,144,9
Bergeronnette grise,2022,168,11
Bergeronnette printanière,2022,18,0
Bihoreau gris,2022,2,0
Bondrée apivore,2022,23,2
Bouvreuil pivoine,2022,62,7
Bruant fou,2022,15,5
Bruant jaune,2022,125,11
Busard cendré,2022,3,0
Busard des roseaux,2022,5,0
Busard Saint-Martin,2022,6,0
Buse variable,2022,97,8
Caille des blés,2022,5,0
Canard colvert,2022,35,1
Chardonneret élégant,2022,8,0
Chevalier culblanc,2020,1,1
Chevalier guignette,2022,4,1
Chocard à bec jaune,2022,97,15
Chouette hulotte,2022,10,1
Cincle plongeur,2022,70,7
Circaète Jean-le-Blanc,2022,37,6
Corneille noire,2022,125,11
Coucou gris,2022,70,6
Crave à bec rouge,2022,20,2
Effraie des clochers,2009,0,1
Engoulevent d'Europe,2018,0,1
Épervier d'Europe,2022,53,2
Étourneau sansonnet,2021,2,1
Faisan de Colchide,2019,1,0
Faucon crécerelle,2022,72,8
Faucon d'Eléonore,2021,1,0
Faucon pèlerin,2022,11,11
Fauvette à tête noire,2022,121,13
Fauvette des jardins,2022,52,6
Fauvette grisette,2021,4,0
Geai des chênes,2022,108,7
Gobemouche gris,2021,1,0
Gobemouche noir,2022,3,0
Grand Corbeau,2022,113,12
Grand Cormoran,2021,2,0
Grand Tétras,2009,0,1
Grimpereau des bois,2022,25,3
Grimpereau des jardins,2022,15,0
Grive draine,2022,139,8
Grive litorne,2022,12,0
Grive mauvis,2021,15,1
Grive musicienne,2022,54,3
Grosbec casse-noyaux,2022,1,0
Guêpier d'Europe,2021,3,2
Héron cendré,2022,22,2
Hibou moyen-duc,2022,2,1
Hirondelle de fenêtre,2022,23,2
Hirondelle de rochers,2022,35,3
Hirondelle rustique,2022,9,1
Huppe fasciée,2022,2,0
Lagopède alpin,2018,0,1
Léiothrix jaune,2021,2,0
Linotte mélodieuse,2022,98,7
Martinet noir,2022,11,2
Martin-pêcheur d'Europe,2022,1,0
Merle à plastron,2022,56,5
Merle noir,2022,138,13
Mésange à longue queue,2022,8,4
Mésange bleue,2022,46,8
Mésange charbonnière,2022,62,8
Mésange huppée,2021,13,4
Mésange noire,2022,83,8
Mésange nonnette,2022,64,7
Milan noir,2022,7,2
Milan royal,2022,19,7
Moineau domestique,2022,11,2
Monticole de roche,2022,5,0
Perdrix grise,2022,9,1
Petit-duc scops,2021,1,0
Petit Gravelot,2019,1,0
Pic de Sharpe,2022,1,0
Pic épeiche,2022,41,4
Pic épeichette,2022,1,2
Pic noir,2022,55,5
Pic vert,2022,28,1
Pie bavarde,2020,1,1
Pie-grièche écorcheur,2022,27,3
Pigeon colombin,2020,1,0
Pigeon ramier,2022,77,1
Pinson des arbres,2022,160,17
Pinson du Nord,2021,4,0
Pipit des arbres,2022,59,4
Pipit farlouse,2022,35,1
Pipit spioncelle,2022,108,9
Pluvier guignard,2022,1,0
Pouillot de Bonelli,2021,1,1
Pouillot fitis,2022,10,0
Pouillot ibérique,2020,13,0
Pouillot siffleur,2021,3,0
Pouillot véloce,2022,140,10
Roitelet à triple bandeau,2022,19,4
Roitelet huppé,2021,11,4
Rossignol philomèle,2022,3,0
Rougegorge familier,2022,116,12
Rougequeue à front blanc,2022,5,0
Rougequeue noir,2022,71,6
Serin cini,2022,10,2
Sittelle torchepot,2022,22,4
Tarier des prés,2022,20,1
Tarier pâtre,2021,3,1
Tarin des aulnes,2021,5,1
Torcol fourmilier,2009,0,1
Tourterelle des bois,2009,0,1
Tourterelle turque,2020,3,2
Traquet motteux,2022,16,1
Troglodyte mignon,2022,105,9
Vautour fauve,2022,56,12
Venturon montagnard,2021,2,0
Verdier d'Europe,2022,16,5
