frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,49,117
Aigle botté,2022,2,1
Aigrette garzette,2024,1133,1137
Alouette des champs,2024,628,688
Alouette lulu,2023,1,6
Autour des palombes,2023,1,3
Avocette élégante,2024,1214,1357
Barge à queue noire,2024,828,1006
Barge rousse,2024,15,16
Bécasseau cocorli,2023,22,36
Bécasseau de Temminck,2023,7,20
Bécasseau maubèche,2023,3,0
Bécasseau minute,2023,42,82
Bécasseau sanderling,2016,0,1
Bécasseau tacheté,2022,4,10
Bécasseau variable,2024,97,172
Bécassin à long bec,2015,0,4
Bécassine des marais,2024,607,1020
Bécassine sourde,2024,6,1
Bergeronnette des ruisseaux,2023,27,24
Bergeronnette flavéole (M.f.flavissima),2023,33,33
Bergeronnette grise,2024,1346,910
Bergeronnette printanière,2023,637,805
Bernache à cou roux,2011,0,3
Bernache cravant,2024,41,134
Bernache du Canada,2023,2,10
Bernache nonnette,2023,2,35
Bihoreau gris,2023,245,134
Blongios nain,2014,0,2
Bondrée apivore,2023,15,11
Bouscarle de Cetti,2024,626,623
Bruant des roseaux,2024,137,335
Bruant jaune,2011,0,3
Bruant proyer,2023,15,17
Bruant zizi,2021,1,6
Busard cendré,2023,331,975
Busard des roseaux,2024,2244,2896
Busard Saint-Martin,2024,206,464
Buse variable,2024,1685,1310
Butor étoilé,2012,0,33
Caille des blés,2023,4,8
Calopsitte élégante,2011,0,1
Canard carolin,2015,0,22
Canard chipeau,2024,238,86
Canard colvert,2024,1234,1316
Canard mandarin,2023,1,0
Canard pilet,2023,33,89
Canard siffleur,2024,27,13
Canard souchet,2024,1205,1761
Chardonneret élégant,2024,308,365
Chevalier aboyeur,2024,226,268
Chevalier arlequin,2024,106,130
Chevalier culblanc,2024,1937,2013
Chevalier gambette,2024,886,1426
Chevalier guignette,2024,511,592
Chevalier solitaire,2017,0,1
Chevalier stagnatile,2012,0,1
Chevalier sylvain,2023,89,156
Chevêche d'Athéna,2024,72,19
Choucas des tours,2024,89,91
Chouette hulotte,2022,5,8
Cigogne blanche,2024,515,777
Cigogne noire,2023,2,10
Circaète Jean-le-Blanc,2023,42,111
Cisticole des joncs,2024,366,416
Cochevis huppé,2023,3,0
Combattant varié,2023,133,316
Corbeau freux,2024,227,275
Cormoran huppé,2022,3,0
Corneille noire,2024,382,379
Coucou geai,2021,2,1
Coucou gris,2023,176,281
Courlis cendré,2024,410,547
Courlis corlieu,2023,86,148
Crabier chevelu,2023,51,13
Cygne noir,2021,26,24
Cygne tuberculé,2024,1682,1698
Dendrocygne veuf,2011,0,1
Échasse blanche,2023,1536,2064
Effraie des clochers,2024,16,96
Élanion blanc,2024,85,35
Engoulevent d'Europe,2021,1,1
Épervier d'Europe,2024,79,68
Étourneau sansonnet,2024,505,711
Faisan de Colchide,2024,163,219
Faisan vénéré,2018,0,1
Faucon crécerelle,2024,3229,1823
Faucon émerillon,2024,53,35
Faucon hobereau,2023,43,43
Faucon kobez,2017,0,4
Faucon pèlerin,2024,43,36
Fauvette à tête noire,2023,92,64
