frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,110,13
Aigle botté,2020,4,1
Aigrette garzette,2022,10,0
Alouette des champs,2022,2,0
Alouette lulu,2023,65,5
Autour des palombes,2021,2,1
Bécasse des bois,2019,1,0
Bécassine des marais,2022,5,0
Bergeronnette des ruisseaux,2023,44,24
Bergeronnette grise,2023,63,33
Bergeronnette printanière,2022,8,0
Bihoreau gris,2016,0,3
Bondrée apivore,2022,12,6
Bouvreuil pivoine,2022,9,1
Bruant fou,2023,8,0
Bruant jaune,2023,3,1
Bruant ortolan,2022,2,0
Bruant proyer,2023,26,1
Bruant zizi,2023,110,25
Busard des roseaux,2022,4,0
Busard Saint-Martin,2021,1,0
Buse variable,2023,76,39
Caille des blés,2019,1,0
Canard colvert,2023,67,24
Canard mandarin,2023,9,0
Canard siffleur,2022,2,0
Canard souchet,2022,3,0
Chardonneret élégant,2023,176,47
Chevalier guignette,2022,6,1
Chevêche d'Athéna,2023,20,6
Choucas des tours,2023,102,36
Chouette hulotte,2023,30,13
Cigogne blanche,2022,6,1
Cigogne noire,2015,0,2
Cincle plongeur,2023,13,10
Circaète Jean-le-Blanc,2022,7,3
Corneille noire,2023,172,59
Coucou gris,2022,56,12
Crabier chevelu,2019,1,0
Cygne noir,2016,0,1
Effraie des clochers,2022,2,17
Élanion blanc,2021,4,2
Engoulevent d'Europe,2022,3,1
Épervier d'Europe,2023,55,12
Etourneau roselin,2021,1,0
Étourneau sansonnet,2023,120,25
Faisan de Colchide,2023,9,1
Faucon crécerelle,2023,70,25
Faucon hobereau,2022,4,0
Faucon pèlerin,2022,13,4
Fauvette à tête noire,2023,187,34
Fauvette des jardins,2022,2,0
Fauvette grisette,2022,20,1
Gallinule poule-d'eau,2023,14,3
Geai des chênes,2023,124,29
Gobemouche gris,2022,35,3
Gobemouche noir,2022,45,1
Grand Corbeau,2023,15,3
Grand Cormoran,2023,51,23
Grande Aigrette,2022,4,1
Grèbe castagneux,2023,2,0
Grimpereau des jardins,2023,46,19
Grive draine,2023,44,4
Grive litorne,2023,5,0
Grive mauvis,2023,12,1
Grive musicienne,2023,45,11
Grosbec casse-noyaux,2023,81,23
Guêpier d'Europe,2022,14,2
Guifette noire,2021,1,0
Héron cendré,2023,53,12
Héron garde-boeufs,2023,13,0
Hibou moyen-duc,2018,0,2
Hirondelle de fenêtre,2022,32,18
Hirondelle de rivage,2022,2,1
Hirondelle de rochers,2022,15,16
Hirondelle rustique,2023,67,24
Huppe fasciée,2022,62,26
Hypolaïs polyglotte,2022,39,7
Linotte mélodieuse,2022,10,0
Loriot d'Europe,2022,53,21
Martinet noir,2022,52,34
Martin-pêcheur d'Europe,2023,38,14
Merle à plastron,2022,4,0
Merle noir,2023,376,84
Mésange à longue queue,2023,58,16
Mésange bleue,2023,347,84
Mésange charbonnière,2023,429,112
Mésange huppée,2023,70,5
Mésange noire,2022,46,20
Mésange nonnette,2023,141,36
Milan noir,2023,54,26
Milan royal,2023,88,20
Moineau domestique,2023,222,90
Moineau friquet,2017,0,3
Moineau soulcie,2020,3,1
Mouette rieuse,2017,0,1
Perdrix rouge,2022,12,2
Petit-duc scops,2019,1,2
Petit Gravelot,2017,0,2
Pic épeiche,2023,215,42
Pic épeichette,2023,17,2
Pic mar,2023,80,11
Pic noir,2023,24,3
Pic vert,2023,115,36
Pie bavarde,2023,124,44
Pie-grièche à tête rousse,2021,2,0
Pie-grièche écorcheur,2022,38,7
Pigeon biset domestique,2023,38,8
Pigeon ramier,2023,196,33
Pinson des arbres,2023,391,86
Pinson du Nord,2023,78,1
Pipit des arbres,2022,21,4
Pipit farlouse,2023,28,2
Pipit spioncelle,2022,7,0
Pouillot de Bonelli,2022,29,10
Pouillot fitis,2022,13,2
Pouillot véloce,2023,90,18
Rémiz penduline,2018,0,2
Roitelet à triple bandeau,2023,41,11
Roitelet huppé,2023,5,2
Rollier d'Europe,2022,18,0
Rossignol philomèle,2022,23,2
Rougegorge familier,2023,351,85
Rougequeue à front blanc,2022,86,21
Rougequeue noir,2023,163,47
Rousserolle effarvatte,2020,1,0
Sarcelle d'hiver,2021,2,0
Serin cini,2022,51,12
Sittelle torchepot,2023,192,53
Tarier des prés,2022,40,1
Tarier pâtre,2023,98,13
Tarin des aulnes,2023,44,12
Torcol fourmilier,2022,12,0
Tourterelle des bois,2022,29,1
Tourterelle turque,2023,208,62
Traquet motteux,2022,34,0
Troglodyte mignon,2023,82,33
Vanneau huppé,2022,1,0
Vautour fauve,2021,2,0
Vautour moine,2021,1,0
Verdier d'Europe,2023,112,36
