frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,47,20
Aigrette garzette,2022,2,1
Alouette des champs,2022,20,9
Bécassine des marais,2022,9,2
Bergeronnette des ruisseaux,2021,2,1
Bergeronnette grise,2022,22,6
Bergeronnette printanière,2022,5,1
Bernache du Canada,2009,0,1
Bihoreau gris,2018,0,1
Blongios nain,2020,1,1
Bondrée apivore,2020,2,0
Bouscarle de Cetti,2022,24,12
Bouvreuil pivoine,2022,4,6
Bruant des roseaux,2022,5,4
Bruant jaune,2022,15,9
Bruant proyer,2022,6,5
Busard cendré,2009,0,1
Busard des roseaux,2022,26,1
Busard Saint-Martin,2021,5,3
Buse variable,2022,17,6
Butor étoilé,2009,0,1
Canard chipeau,2018,0,1
Canard colvert,2022,18,21
Canard pilet,2018,0,1
Canard souchet,2021,1,1
Chardonneret élégant,2022,40,38
Chevalier culblanc,2021,3,0
Chevalier gambette,2022,3,0
Chevalier guignette,2020,1,0
Chevêche d'Athéna,2009,0,1
Choucas des tours,2022,12,7
Chouette hulotte,2022,2,2
Cigogne blanche,2022,13,1
Corbeau freux,2021,11,2
Corneille noire,2022,46,32
Coucou geai,2022,1,0
Coucou gris,2022,28,10
Cygne tuberculé,2022,20,16
Effraie des clochers,2009,0,1
Épervier d'Europe,2022,5,3
Étourneau sansonnet,2022,43,26
Faisan de Colchide,2022,30,16
Faucon crécerelle,2022,13,14
Faucon hobereau,2022,5,1
Fauvette à tête noire,2022,29,26
Fauvette babillarde,2017,0,1
Fauvette des jardins,2020,4,3
Fauvette grisette,2022,27,12
Foulque macroule,2022,16,21
Fuligule milouin,2009,0,1
Gallinule poule-d'eau,2022,15,25
Geai des chênes,2022,12,4
Gobemouche gris,2020,4,3
Goéland argenté,2022,4,1
Goéland brun,2022,4,0
Gorgebleue à miroir,2022,4,2
Grand Cormoran,2022,4,7
Grande Aigrette,2022,27,8
Grèbe castagneux,2019,0,3
Grèbe huppé,2022,10,8
Grimpereau des jardins,2022,7,3
Grive draine,2022,2,2
Grive litorne,2020,2,0
Grive mauvis,2020,1,0
Grive musicienne,2022,29,11
Grosbec casse-noyaux,2018,0,18
Guêpier d'Europe,2020,1,0
Harle bièvre,2009,0,1
Héron cendré,2022,16,11
Héron garde-boeufs,2009,0,1
Héron pourpré,2021,3,0
Hibou moyen-duc,2009,0,1
Hirondelle de fenêtre,2022,15,11
Hirondelle de rivage,2020,1,1
Hirondelle rustique,2022,27,17
Hypolaïs polyglotte,2022,1,1
Ibis rouge,2020,1,0
Linotte mélodieuse,2022,12,9
Locustelle luscinioïde,2021,2,1
Locustelle tachetée,2020,2,1
Loriot d'Europe,2021,5,1
Martinet noir,2022,11,4
Martin-pêcheur d'Europe,2022,12,5
Merle à plastron,2022,1,0
Merle noir,2022,129,67
Mésange à longue queue,2021,12,12
Mésange bleue,2022,72,47
Mésange boréale,2009,0,1
Mésange charbonnière,2022,77,47
Mésange huppée,2022,3,15
Mésange noire,2012,0,1
Mésange nonnette,2020,5,30
Moineau domestique,2022,110,48
Moineau friquet,2012,0,1
Mouette rieuse,2022,7,4
Oedicnème criard,2021,1,2
Oie cendrée,2009,0,1
Perdrix grise,2022,5,2
Perdrix rouge,2020,1,0
Petit Gravelot,2021,1,1
Phragmite des joncs,2022,11,5
Pic épeiche,2022,23,5
Pic noir,2020,2,1
Pic vert,2022,28,11
Pie bavarde,2020,1,3
Pie-grièche écorcheur,2022,3,0
Pigeon biset domestique,2022,28,7
Pigeon colombin,2018,0,3
Pigeon ramier,2022,68,43
Pinson des arbres,2022,87,65
Pinson du Nord,2022,1,2
Pipit des arbres,2020,2,5
Pipit farlouse,2020,4,0
Pouillot fitis,2020,2,2
Pouillot véloce,2022,29,18
Râle d'eau,2022,6,2
Roitelet huppé,2021,2,4
Rossignol philomèle,2022,12,6
Rougegorge familier,2022,37,36
Rougequeue à front blanc,2021,1,0
Rougequeue noir,2022,20,8
Rousserolle effarvatte,2022,6,1
Rousserolle verderolle,2022,8,3
Sarcelle d'été,2021,2,1
Sarcelle d'hiver,2022,2,5
Serin cini,2021,4,3
Sittelle torchepot,2022,5,8
Sterne pierregarin,2022,3,1
Tadorne de Belon,2022,1,1
Tarier pâtre,2009,0,1
Tarin des aulnes,2018,0,2
Tourterelle des bois,2022,25,4
Tourterelle turque,2022,87,45
Troglodyte mignon,2022,42,40
Vanneau huppé,2021,3,1
Verdier d'Europe,2022,37,34
