frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,81,83
Aigrette garzette,2022,87,42
Alouette calandrelle,2023,1,0
Alouette des champs,2023,3,1
Barge à queue noire,2022,4,10
Barge rousse,2023,126,29
Bécasseau cocorli,2015,0,1
Bécasseau maubèche,2023,37,14
Bécasseau sanderling,2023,203,85
Bécasseau variable,2023,266,95
Bécasseau violet,2023,115,14
Bécasse des bois,2023,2,0
Bécassine des marais,2022,3,0
Bergeronnette des ruisseaux,2019,1,0
Bergeronnette flavéole (M.f.flavissima),2022,1,0
Bergeronnette grise,2023,36,6
Bergeronnette printanière,2023,2,4
Bernache cravant,2021,2,0
Bruant ortolan,2010,0,1
Bruant proyer,2021,1,0
Busard des roseaux,2022,7,0
Buse variable,2023,3,2
Caille des blés,2023,2,1
Canard colvert,2023,27,2
Canard siffleur,2022,1,0
Chardonneret élégant,2023,15,3
Chevalier gambette,2022,15,4
Chevalier guignette,2023,57,21
Cisticole des joncs,2009,0,1
Cormoran huppé,2023,309,79
Corneille noire,2023,269,130
Coucou gris,2018,0,1
Courlis cendré,2023,15,1
Courlis corlieu,2023,210,47
Épervier d'Europe,2020,1,2
Étourneau sansonnet,2023,6,4
Faucon crécerelle,2022,4,0
Faucon émerillon,2021,4,0
Faucon hobereau,2020,1,0
Faucon pèlerin,2023,70,26
Fauvette à tête noire,2023,13,4
Fauvette des jardins,2022,2,0
Fauvette grisette,2023,9,3
Fou de Bassan,2023,247,72
Fulmar boréal,2023,7,1
Gobemouche gris,2022,9,6
Gobemouche noir,2022,17,2
Goéland argenté,2023,385,84
Goéland bourgmestre,2021,1,0
Goéland brun,2023,181,57
Goéland cendré,2022,11,0
Goéland marin,2023,406,83
Grand Cormoran,2023,347,83
Grande Aigrette,2022,2,0
Grand Gravelot,2023,190,92
Grand Labbe,2022,8,1
Gravelot à collier interrompu,2023,498,177
Grèbe huppé,2022,1,0
Grèbe jougris,2016,0,6
Grimpereau des jardins,2009,0,1
Grive mauvis,2023,3,0
Grive musicienne,2023,22,3
Guifette noire,2023,17,1
Guillemot de Troïl,2023,115,38
Héron cendré,2023,207,19
Héron garde-boeufs,2021,3,0
Hirondelle de fenêtre,2022,3,2
Hirondelle de rivage,2018,0,2
Hirondelle rustique,2023,82,41
Huîtrier pie,2023,620,139
Huppe fasciée,2021,4,0
Hypolaïs polyglotte,2019,4,1
Inséparable de Fischer,2022,1,0
Labbe parasite,2023,13,3
Labbe pomarin,2018,0,1
Linotte mélodieuse,2023,391,128
Macareux moine,2018,0,4
Macreuse noire,2023,8,0
Martinet noir,2022,7,2
Martin-pêcheur d'Europe,2022,2,0
Merle à plastron,2023,2,0
Merle noir,2023,348,101
Mésange bleue,2016,0,2
Mésange huppée,2009,0,1
Moineau domestique,2009,0,1
Mouette mélanocéphale,2022,59,5
Mouette pygmée,2022,1,1
Mouette rieuse,2023,19,5
Mouette tridactyle,2023,28,4
Océanite tempête,2022,13,6
Perruche ondulée,2022,2,0
Phalarope à bec large,2021,1,0
Phragmite des joncs,2020,1,0
Pic vert,2009,0,1
Pie-grièche à tête rousse,2018,0,3
Pie-grièche écorcheur,2022,2,0
Pigeon biset domestique,2022,4,1
Pigeon colombin,2022,1,0
Pigeon ramier,2023,137,11
Pingouin torda,2023,10,7
Pinson des arbres,2023,7,2
Pinson du Nord,2022,4,0
Pipit de Richard,2018,0,1
Pipit des arbres,2022,1,0
Pipit farlouse,2022,14,1
Pipit maritime,2023,391,97
Plongeon imbrin,2023,35,12
Pluvier argenté,2023,86,11
Pouillot à grands sourcils,2019,1,0
Pouillot fitis,2023,55,15
Pouillot véloce,2022,75,37
Puffin cendré,2022,5,0
Puffin des Anglais,2023,50,12
Puffin des Baléares,2023,85,19
Puffin fuligineux,2022,2,0
Puffin majeur,2022,5,0
Râle d'eau,2022,7,0
Roitelet à triple bandeau,2022,2,1
Roitelet huppé,2016,0,2
Rougegorge familier,2023,56,4
Rougequeue à front blanc,2023,13,2
Rougequeue noir,2022,12,5
Rousserolle effarvatte,2022,2,0
Serin cini,2009,0,1
Sterne arctique,2022,7,3
Sterne caugek,2023,502,101
Sterne de Dougall,2023,345,86
Sterne élégante,2009,0,1
Sterne naine,2023,24,8
Sterne pierregarin,2023,453,88
Tadorne de Belon,2023,249,82
Tarier des prés,2023,5,0
Tarier pâtre,2021,2,2
Tarin des aulnes,2017,0,1
Torcol fourmilier,2021,1,0
Tournepierre à collier,2023,434,108
Tourterelle des bois,2022,8,3
Tourterelle turque,2023,21,7
Traquet motteux,2023,92,20
Troglodyte mignon,2022,19,4
Verdier d'Europe,2023,10,2
