frname,lastobs,newcount,oldcount
Accenteur mouchet,2024,113,44
Aigrette garzette,2019,0,1
Alouette des champs,2022,5,3
Autour des palombes,2016,0,1
Bécasse des bois,2020,1,9
Bécassine des marais,2022,2,7
Bécassine sourde,2022,1,0
Bec-croisé des sapins,2022,4,2
Bergeronnette des ruisseaux,2024,86,69
Bergeronnette grise,2024,537,154
Bergeronnette printanière,2020,1,4
Bernache du Canada,2023,10,14
Bondrée apivore,2020,1,15
Bouvreuil pivoine,2023,43,33
Bruant des roseaux,2012,0,4
Bruant jaune,2024,8,11
Busard Saint-Martin,2008,0,1
Buse variable,2024,623,94
Canard carolin,2013,0,3
Canard colvert,2024,33,41
Canard mandarin,2013,0,2
Canard pilet,2019,3,0
Canard souchet,2019,1,0
Chardonneret élégant,2024,525,137
Chevalier aboyeur,2013,0,1
Chevalier culblanc,2022,4,4
Chevalier guignette,2020,1,12
Chevalier sylvain,2008,0,1
Chevêche d'Athéna,2023,9,2
Choucas des tours,2024,904,332
Chouette hulotte,2023,28,17
Cigogne blanche,2023,10,10
Cigogne noire,2023,42,34
Cincle plongeur (C.c.cinclus),2024,25,67
Corbeau freux,2023,13,9
Corneille noire,2024,915,312
Coucou gris,2024,50,13
Cygne noir,2019,1,0
Cygne tuberculé,2023,10,2
Effraie des clochers,2022,7,8
Épervier d'Europe,2022,8,19
Étourneau sansonnet,2024,902,245
Faisan de Colchide,2024,290,70
Faisan vénéré,2013,0,1
Faucon crécerelle,2023,80,45
Faucon hobereau,2023,7,7
Faucon pèlerin,2013,0,2
Fauvette à tête noire,2024,52,42
Fauvette babillarde,2023,7,12
Fauvette des jardins,2023,18,23
Fauvette grisette,2023,14,15
Foulque macroule,2023,6,10
Gallinule poule-d'eau,2023,6,13
Geai des chênes,2024,53,32
Géopélie diamant,2016,0,1
Gobemouche gris,2023,10,11
Gobemouche noir,2021,1,0
Goéland argenté,2016,0,5
Goéland brun,2015,0,1
Goéland cendré,2015,0,1
Grand Corbeau,2023,8,2
Grand Cormoran,2024,26,10
Grand-duc d'Europe,2020,1,0
Grande Aigrette,2024,60,45
Grèbe castagneux,2020,1,1
Grèbe huppé,2023,9,13
Grimpereau des bois,2023,9,1
Grimpereau des jardins,2024,35,40
Grive draine,2024,28,14
Grive litorne,2020,3,14
Grive mauvis,2024,12,6
Grive musicienne,2024,48,49
Grosbec casse-noyaux,2024,24,28
Harle bièvre,2023,1,0
Héron cendré,2024,96,46
Héron pourpré,2021,1,3
Hibou moyen-duc,2018,0,5
Hirondelle de fenêtre,2023,12,9
Hirondelle de rivage,2021,1,3
Hirondelle rustique,2024,356,156
Huppe fasciée,2021,1,1
Hypolaïs polyglotte,2021,5,8
Linotte mélodieuse,2022,10,12
Locustelle tachetée,2020,1,3
Loriot d'Europe,2023,26,17
Martinet noir,2023,6,16
Martin-pêcheur d'Europe,2024,65,48
Merle à plastron,2023,4,0
Merle noir,2024,1014,400
Mésange à longue queue,2024,23,37
Mésange bleue,2024,992,426
Mésange boréale,2023,12,23
Mésange charbonnière,2024,1005,450
Mésange huppée,2023,16,11
Mésange noire,2023,11,22
Mésange nonnette,2024,87,47
Milan noir,2019,1,8
Milan royal,2022,4,9
Moineau domestique,2024,1003,444
Moineau friquet,2021,3,5
Mouette mélanocéphale,2019,1,0
Mouette rieuse,2017,0,6
Oie cendrée,2020,1,2
Ouette d'Égypte,2021,1,4
Perdrix grise,2010,0,2
Phragmite des joncs,2012,0,1
Pic épeiche,2024,55,60
Pic épeichette,2023,10,6
Pic mar,2022,12,14
Pic noir,2024,8,16
Pic vert,2024,86,28
Pie bavarde,2024,926,283
Pie-grièche écorcheur,2022,3,8
Pigeon biset domestique,2024,378,0
Pigeon ramier,2024,783,165
Pinson des arbres,2024,733,262
Pinson du Nord,2022,3,12
Pipit des arbres,2023,12,9
Pipit farlouse,2013,0,6
Pluvier doré,2018,0,1
Pouillot fitis,2023,8,14
Pouillot siffleur,2023,7,14
Pouillot véloce,2024,72,56
Roitelet à triple bandeau,2023,29,19
Roitelet huppé,2023,23,39
Rossignol philomèle,2021,2,6
Rougegorge familier,2024,500,168
Rougequeue à front blanc,2023,33,48
Rougequeue noir,2024,439,145
Rousserolle verderolle,2017,0,2
Sarcelle d'hiver,2015,0,1
Serin cini,2022,24,7
Sittelle torchepot,2024,64,48
Sizerin flammé,2021,1,3
Sterne pierregarin,2018,0,1
Tarier des prés,2022,1,1
Tarier pâtre,2023,7,23
Tarin des aulnes,2024,22,29
Tourterelle des bois,2019,2,5
Tourterelle turque,2024,730,101
Traquet motteux,2010,0,1
Troglodyte mignon,2024,124,76
Vanneau huppé,2024,249,32
Verdier d'Europe,2024,75,94
