frname,lastobs,newcount,oldcount
Accenteur mouchet,2019,1,6
Aigle botté,2017,0,3
Aigrette garzette,2022,40,27
Alouette des champs,2023,56,91
Alouette lulu,2023,77,70
Autour des palombes,2019,1,2
Barge à queue noire,2022,2,0
Bécasseau cocorli,2016,0,4
Bécasseau minute,2022,11,15
Bécasseau variable,2022,15,32
Bécassine des marais,2023,7,19
Bergeronnette des ruisseaux,2023,14,32
Bergeronnette grise,2023,67,148
Bergeronnette printanière,2022,5,19
Bernache du Canada,2021,1,0
Bihoreau gris,2023,14,26
Blongios nain,2020,1,0
Bondrée apivore,2022,5,14
Bruant des roseaux,2023,6,25
Bruant jaune,2022,11,8
Bruant ortolan,2020,1,3
Bruant proyer,2023,57,56
Bruant zizi,2023,65,100
Busard cendré,2019,1,9
Busard des roseaux,2013,0,2
Busard Saint-Martin,2022,5,11
Buse variable,2023,118,131
Caille des blés,2023,8,32
Canard chipeau,2017,0,8
Canard colvert,2023,94,142
Canard pilet,2022,1,0
Canard siffleur,2017,0,2
Canard souchet,2021,2,17
Chardonneret élégant,2023,95,111
Chevalier aboyeur,2022,6,40
Chevalier arlequin,2015,0,2
Chevalier culblanc,2023,18,36
Chevalier gambette,2016,0,11
Chevalier guignette,2023,33,84
Chevalier sylvain,2022,1,3
Chevêche d'Athéna,2023,26,105
Choucas des tours,2023,46,33
Chouette hulotte,2022,9,31
Cigogne blanche,2021,2,3
Cigogne noire,2008,0,1
Circaète Jean-le-Blanc,2022,6,6
Cisticole des joncs,2022,2,2
Cochevis huppé,2013,0,1
Combattant varié,2022,3,11
Corneille noire,2023,175,159
Coucou gris,2023,38,45
Courlis cendré,2016,0,1
Courlis corlieu,2012,0,1
Échasse blanche,2023,1,1
Effraie des clochers,2023,15,41
Élanion blanc,2022,58,13
Engoulevent d'Europe,2020,1,8
Épervier d'Europe,2023,21,32
Étourneau sansonnet,2023,52,87
Faisan de Colchide,2023,14,18
Faucon crécerelle,2023,120,230
Faucon hobereau,2020,2,7
Faucon kobez,2016,0,4
Faucon pèlerin,2022,3,9
Fauvette à tête noire,2023,150,101
Fauvette des jardins,2022,1,2
Fauvette grisette,2021,5,20
Fauvette mélanocéphale,2018,0,2
Fauvette passerinette,2021,5,1
Foulque macroule,2023,52,32
Fuligule milouin,2023,2,4
Fuligule morillon,2022,1,0
Gallinule poule-d'eau,2022,17,34
Geai des chênes,2023,74,89
Gobemouche gris,2020,2,3
Gobemouche noir,2023,25,37
Goéland leucophée,2023,14,53
Gorgebleue à miroir,2022,1,0
Grand Corbeau,2023,7,20
Grand Cormoran,2023,61,75
Grande Aigrette,2023,51,17
Grand Gravelot,2022,14,33
Grèbe à cou noir,2016,0,1
Grèbe castagneux,2021,2,4
Grèbe huppé,2023,49,61
Grimpereau des jardins,2023,23,18
Grive draine,2022,8,16
Grive litorne,2023,4,17
Grive mauvis,2023,3,6
Grive musicienne,2023,41,49
Grosbec casse-noyaux,2022,2,11
Guêpier d'Europe,2022,5,1
Guifette moustac,2016,0,1
Guifette noire,2018,0,11
Héron cendré,2023,131,166
Héron garde-boeufs,2022,25,16
Héron pourpré,2021,3,4
Hibou moyen-duc,2015,0,7
Hirondelle de fenêtre,2022,16,19
Hirondelle de rivage,2022,1,5
Hirondelle de rochers,2015,0,1
Hirondelle rustique,2023,58,80
Huppe fasciée,2023,40,44
Hypolaïs polyglotte,2022,11,48
Linotte mélodieuse,2023,40,66
Loriot d'Europe,2022,31,60
Martinet noir,2022,8,23
Martin-pêcheur d'Europe,2022,9,13
Merle noir,2023,187,157
Mésange à longue queue,2023,57,67
Mésange bleue,2023,99,99
Mésange charbonnière,2023,156,145
Mésange huppée,2023,1,0
Mésange noire,2018,0,2
Mésange nonnette,2021,4,2
Milan noir,2023,56,98
Milan royal,2023,54,27
Moineau domestique,2023,79,76
Moineau friquet,2023,1,4
Moineau soulcie,2022,6,12
Mouette rieuse,2022,5,16
Oedicnème criard,2022,18,74
Perdrix rouge,2022,23,58
Perruche à collier,2020,1,0
Petit-duc scops,2018,0,8
Petit Gravelot,2022,7,38
Pic épeiche,2023,43,38
Pic épeichette,2022,7,5
Pic mar,2022,7,2
Pic noir,2023,3,0
Pic vert,2023,78,79
Pie bavarde,2023,78,108
Pie-grièche à tête rousse,2017,0,1
Pie-grièche écorcheur,2021,4,27
Pigeon biset domestique,2022,35,38
Pigeon colombin,2023,2,1
Pigeon ramier,2023,196,134
Pinson des arbres,2023,165,140
Pinson du Nord,2023,9,4
Pipit des arbres,2022,9,15
Pipit farlouse,2023,15,25
Pipit rousseline,2019,1,13
Pipit spioncelle,2022,4,7
Pluvier argenté,2017,0,9
Pluvier doré,2022,1,0
Pouillot de Bonelli,2022,22,31
Pouillot fitis,2023,5,7
Pouillot véloce,2023,83,72
Roitelet à triple bandeau,2022,13,13
Roitelet huppé,2022,3,3
Rollier d'Europe,2022,10,9
Rossignol philomèle,2023,50,94
Rougegorge familier,2023,150,111
Rougequeue à front blanc,2023,2,3
Rougequeue noir,2023,64,64
Rousserolle effarvatte,2018,0,2
Sarcelle d'été,2019,1,4
Sarcelle d'hiver,2023,12,12
Serin cini,2023,4,24
Sittelle torchepot,2022,31,20
Sterne caspienne,2016,0,1
Tadorne de Belon,2022,1,7
Tarier des prés,2020,1,5
Tarier pâtre,2023,44,49
Tarin des aulnes,2022,4,12
Torcol fourmilier,2009,0,1
Tournepierre à collier,2016,0,7
Tourterelle des bois,2022,35,70
Tourterelle turque,2023,107,73
Traquet motteux,2022,17,26
Troglodyte mignon,2023,39,52
Vanneau huppé,2022,6,13
Vautour fauve,2021,1,0
Verdier d'Europe,2023,24,67
