frname,lastobs,newcount,oldcount
Accenteur alpin,2021,5,1
Accenteur mouchet,2022,58,70
Aigle botté,2022,9,2
Aigle royal,2022,35,65
Alouette des champs,2022,100,124
Alouette lulu,2022,96,82
Autour des palombes,2022,12,17
Bécasse des bois,2021,16,34
Bécassine des marais,2022,1,2
Bec-croisé des sapins,2022,59,54
Bergeronnette des ruisseaux,2022,30,46
Bergeronnette grise,2022,50,48
Bergeronnette printanière,2022,26,3
Bihoreau gris,2012,0,2
Bondrée apivore,2022,79,60
Bouvreuil pivoine,2022,57,117
Bruant fou,2022,67,70
Bruant jaune,2022,68,58
Bruant ortolan,2022,1,6
Bruant proyer,2022,9,4
Bruant zizi,2022,53,35
Busard cendré,2022,41,30
Busard des roseaux,2022,6,4
Busard Saint-Martin,2022,27,18
Buse variable,2022,169,187
Caille des blés,2021,10,13
Chardonneret élégant,2022,69,80
Chevêche d'Athéna,2021,1,5
Choucas des tours,2019,1,3
Chouette de Tengmalm,2009,0,4
Chouette hulotte,2022,25,81
Cincle plongeur,2022,6,19
Circaète Jean-le-Blanc,2022,128,164
Corneille noire,2022,152,191
Coucou gris,2022,106,280
Crave à bec rouge,2022,6,4
Effraie des clochers,2017,0,1
Engoulevent d'Europe,2022,48,36
Épervier d'Europe,2022,70,68
Étourneau sansonnet,2022,31,20
Faisan de Colchide,2021,2,24
Faucon crécerelle,2022,95,85
Faucon crécerellette,2017,0,4
Faucon d'Eléonore,2022,9,0
Faucon émerillon,2014,0,1
Faucon hobereau,2022,9,8
Faucon kobez,2013,0,2
Faucon pèlerin,2022,3,16
Fauvette à tête noire,2022,156,165
Fauvette des jardins,2022,14,13
Fauvette grisette,2022,89,101
Fauvette orphée,2017,0,3
Fauvette passerinette,2016,0,5
Fauvette pitchou,2022,55,43
Geai des chênes,2022,131,257
Gobemouche gris,2020,2,7
Gobemouche noir,2022,54,42
Grand Corbeau,2022,106,157
Grand Cormoran,2020,1,1
Grand-duc d'Europe,2020,1,4
Grand Tétras,2013,0,3
Grimpereau des bois,2022,9,14
Grimpereau des jardins,2022,108,81
Grive draine,2022,109,176
Grive litorne,2022,11,18
Grive mauvis,2021,4,6
Grive musicienne,2022,102,154
Grosbec casse-noyaux,2021,8,50
Guêpier d'Europe,2022,9,7
Héron cendré,2022,8,11
Hibou des marais,2017,0,1
Hibou moyen-duc,2017,0,6
Hirondelle de fenêtre,2022,27,53
Hirondelle de rochers,2022,35,56
Hirondelle rustique,2022,35,51
Huppe fasciée,2022,4,16
Hypolaïs polyglotte,2022,16,6
Linotte mélodieuse,2022,60,41
Locustelle tachetée,2022,1,0
Loriot d'Europe,2020,1,1
Martinet à ventre blanc,2021,6,4
Martinet noir,2022,54,64
Martin-pêcheur d'Europe,2018,0,5
Merle à plastron,2021,15,8
Merle noir,2022,210,348
Mésange à longue queue,2022,58,68
Mésange bleue,2022,150,211
Mésange charbonnière,2022,230,285
Mésange huppée,2022,47,76
Mésange noire,2022,72,182
Mésange nonnette,2022,53,88
Milan noir,2022,26,27
Milan royal,2022,48,31
Moineau domestique,2022,58,77
Monticole de roche,2021,6,1
Niverolle alpine,2009,0,1
Perdrix rouge,2022,79,70
Petit-duc scops,2020,1,10
Pic épeiche,2022,88,188
Pic épeichette,2022,19,20
Pic mar,2017,0,3
Pic noir,2022,66,131
Pic vert,2022,114,160
Pie bavarde,2019,2,8
Pie-grièche à tête rousse,2014,0,2
Pie-grièche écorcheur,2022,54,85
Pie-grièche méridionale,2021,1,0
Pigeon biset domestique,2022,1,2
Pigeon colombin,2009,0,1
Pigeon ramier,2022,106,215
Pinson des arbres,2022,294,489
Pinson du Nord,2021,15,46
Pipit des arbres,2022,67,52
Pipit farlouse,2022,112,50
Pipit rousseline,2021,5,4
Pipit spioncelle,2021,1,0
Pluvier guignard,2022,6,1
Pouillot de Bonelli,2022,24,16
Pouillot fitis,2022,12,11
Pouillot véloce,2022,177,163
Roitelet à triple bandeau,2022,76,88
Roitelet huppé,2022,38,58
Rollier d'Europe,2020,1,5
Rossignol philomèle,2022,23,30
Rougegorge familier,2022,326,378
Rougequeue à front blanc,2022,20,11
Rougequeue noir,2022,127,162
Rousserolle effarvatte,2016,0,1
Serin cini,2022,32,42
Sittelle torchepot,2022,122,190
Sizerin cabaret,2018,0,6
Sizerin flammé,2018,0,6
Tarier des prés,2021,7,6
Tarier pâtre,2022,95,68
Tarin des aulnes,2022,37,49
Tichodrome échelette,2017,0,4
Torcol fourmilier,2022,20,33
Tourterelle des bois,2007,0,1
Tourterelle turque,2021,8,28
Traquet motteux,2022,40,23
Troglodyte mignon,2022,154,198
Vanneau huppé,2020,1,0
Vautour fauve,2022,110,113
Vautour moine,2022,13,6
Venturon montagnard,2022,19,48
Verdier d'Europe,2021,6,51
