frname,lastobs,newcount,oldcount
Accenteur mouchet,2021,4,18
Alouette des champs,2023,140,135
Alouette lulu,2023,15,13
Autour des palombes,2012,0,7
Bécasse des bois,2023,7,2
Bécassine des marais,2020,1,4
Bec-croisé des sapins,2021,2,0
Bergeronnette des ruisseaux,2023,26,14
Bergeronnette grise,2023,45,62
Bergeronnette printanière,2023,28,51
Bernache nonnette,2010,0,2
Bondrée apivore,2023,1,8
Bouvreuil pivoine,2023,14,21
Bruant des roseaux,2017,0,3
Bruant jaune,2023,77,139
Bruant proyer,2023,87,81
Bruant zizi,2023,20,8
Busard des roseaux,2014,0,1
Busard Saint-Martin,2023,5,6
Buse variable,2023,226,216
Caille des blés,2023,9,5
Canard colvert,2023,25,31
Canard siffleur,2017,0,1
Chardonneret élégant,2023,57,36
Chevalier culblanc,2022,7,10
Chevalier guignette,2023,3,1
Chevêche d'Athéna,2023,11,0
Choucas des tours,2023,4,4
Chouette hulotte,2023,11,26
Cigogne blanche,2022,2,2
Cigogne noire,2023,7,7
Cincle plongeur (C.c.cinclus),2022,1,5
Corbeau freux,2023,15,20
Corneille noire,2023,119,138
Coucou gris,2022,6,12
Effraie des clochers,2022,14,29
Épervier d'Europe,2023,19,34
Étourneau sansonnet,2023,140,105
Faisan de Colchide,2019,1,14
Faucon crécerelle,2023,69,83
Faucon émerillon,2019,1,0
Faucon hobereau,2021,2,14
Faucon kobez,2021,1,0
Faucon pèlerin (F.p.brookei),2018,0,2
Fauvette à tête noire,2023,126,144
Fauvette babillarde,2023,7,20
Fauvette des jardins,2023,11,14
Fauvette grisette,2023,34,90
Foulque macroule,2023,1,0
Fuligule milouin,2012,0,1
Gallinule poule-d'eau,2023,2,9
Geai des chênes,2023,49,51
Gobemouche gris (M. s. striata),2023,15,5
Gobemouche noir,2023,6,4
Goéland leucophée,2020,1,1
Grand Cormoran,2023,8,13
Grande Aigrette,2023,68,41
Grèbe huppé,2015,0,4
Grimpereau des jardins,2023,77,57
Grive draine,2023,30,46
Grive litorne,2023,21,32
Grive mauvis,2021,8,6
Grive musicienne,2023,51,67
Grosbec casse-noyaux,2023,20,28
Guêpier d'Europe,2021,8,1
Héron cendré,2023,65,43
Héron garde-boeufs,2023,3,0
Hibou moyen-duc,2023,3,16
Hirondelle de fenêtre,2023,12,16
Hirondelle rustique,2023,70,70
Huppe fasciée,2023,61,52
Hypolaïs polyglotte,2023,20,19
Linotte mélodieuse,2023,83,59
Locustelle tachetée,2018,0,3
Loriot d'Europe,2023,41,57
Martinet noir,2022,6,6
Martin-pêcheur d'Europe,2023,9,17
Merle noir,2023,164,190
Mésange à longue queue (A.c.caudatus),2023,23,22
Mésange bleue,2023,116,63
Mésange boréale,2016,0,2
Mésange charbonnière,2023,148,120
Mésange huppée,2017,0,10
Mésange noire,2022,2,3
Mésange nonnette,2023,12,33
Milan noir,2023,102,56
Milan royal,2023,143,75
Moineau domestique,2023,98,76
Moineau friquet,2013,0,3
Mouette rieuse,2021,1,1
Perdrix rouge,2022,1,2
Perruche à collier,2020,2,0
Petit-duc scops,2015,0,5
Pic cendré,2022,3,2
Pic épeiche,2023,53,43
Pic épeichette,2023,14,13
Pic mar,2023,19,14
Pic noir,2023,10,16
Pic vert,2023,62,51
Pie bavarde,2023,83,72
Pie-grièche à tête rousse,2023,20,33
Pie-grièche écorcheur,2023,69,107
Pie-grièche grise (L.e.excubitor),2021,1,0
Pigeon biset domestique,2012,0,1
Pigeon colombin,2022,3,2
Pigeon ramier,2023,121,126
Pinson des arbres,2023,216,129
Pinson du Nord,2022,5,4
Pipit des arbres,2022,8,25
Pipit farlouse,2022,6,10
Pipit spioncelle,2023,3,7
Pluvier doré,2012,0,5
Pouillot fitis,2022,9,14
Pouillot siffleur,2022,7,4
Pouillot véloce,2023,95,75
Râle d'eau,2023,2,0
Roitelet à triple bandeau,2023,7,8
Roitelet huppé,2020,4,24
Rossignol philomèle,2023,65,79
Rougegorge familier,2023,117,43
Rougequeue à front blanc,2023,14,10
Rougequeue noir,2023,50,45
Serin cini,2023,9,16
Sittelle torchepot,2023,38,18
Tarier des prés,2022,6,8
Tarier pâtre,2023,58,68
Tarin des aulnes,2023,21,9
Torcol fourmilier (J.t.tschusii),2022,7,8
Tourterelle des bois,2023,34,50
Tourterelle turque,2023,71,75
Traquet motteux,2023,10,10
Troglodyte mignon,2023,61,92
Vanneau huppé,2023,33,32
Verdier d'Europe,2023,66,75
