frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,263,355
Aigrette garzette,2023,421,631
Alouette des champs,2023,80,118
Alouette haussecol,2007,0,1
Alouette lulu,2023,7,4
Autour des palombes,2021,2,2
Avocette élégante,2023,387,512
Barge à queue noire,2023,138,160
Barge rousse,2023,12,34
Bécasseau cocorli,2022,4,3
Bécasseau de Temminck,2023,14,7
Bécasseau maubèche,2023,11,17
Bécasseau minute,2023,29,33
Bécasseau sanderling,2021,6,43
Bécasseau variable,2023,74,118
Bécasseau violet,2007,0,1
Bécasse des bois,2023,11,4
Bécassine des marais,2023,250,226
Bécassine sourde,2023,2,3
Bec-croisé des sapins,2023,1,1
Bergeronnette des ruisseaux,2023,9,6
Bergeronnette flavéole (M.f.flavissima),2023,14,16
Bergeronnette grise,2023,443,585
Bergeronnette printanière,2023,63,67
Bernache cravant,2022,7,7
Bernache du Canada,2023,498,807
Bernache nonnette,2023,432,625
Bihoreau gris,2023,3,2
Blongios nain,2014,0,1
Bondrée apivore,2023,10,4
Bouscarle de Cetti,2023,301,197
Bouvreuil pivoine,2023,13,23
Bruant des neiges,2008,0,3
Bruant des roseaux,2023,118,89
Bruant jaune,2023,52,92
Bruant proyer,2023,50,35
Busard cendré,2020,1,1
Busard des roseaux,2023,98,29
Busard Saint-Martin,2023,38,22
Buse variable,2023,89,88
Butor étoilé,2023,24,68
Caille des blés,2022,3,4
Canard à collier noir,2015,0,1
Canard chipeau,2023,154,9
Canard colvert,2023,610,764
Canard de Barbarie,2021,1,0
Canard mandarin,2017,0,3
Canard pilet,2023,299,265
Canard siffleur,2023,171,4
Canard souchet,2023,262,12
Chardonneret élégant,2023,222,339
Chevalier aboyeur,2023,95,148
Chevalier arlequin,2023,43,43
Chevalier culblanc,2023,139,210
Chevalier gambette,2023,166,195
Chevalier guignette,2023,192,208
Chevalier stagnatile,2019,2,0
Chevalier sylvain,2022,17,13
Chevêche d'Athéna,2022,4,2
Choucas des tours,2023,201,390
Chouette hulotte,2023,11,15
Cigogne blanche,2023,290,264
Cigogne noire,2021,1,3
Cisticole des joncs,2023,101,13
Cochevis huppé,2019,2,44
Combattant varié,2023,92,8
Corbeau freux,2023,62,290
Cormoran huppé,2013,0,1
Corneille noire,2023,116,5
Coucou gris,2023,132,190
Courlis cendré,2023,52,80
Courlis corlieu,2023,39,69
Crabier chevelu,2019,1,4
Cygne chanteur,2017,0,9
Cygne noir,2021,1,20
Cygne siffleur,2022,19,4
Cygne tuberculé,2023,667,864
Échasse blanche,2023,357,467
Effraie des clochers,2023,20,9
Eider à duvet,2015,0,2
Engoulevent d'Europe,2020,1,2
Épervier d'Europe,2023,47,34
Érismature rousse,2018,0,11
Étourneau sansonnet,2023,674,884
Faisan de Colchide,2023,322,384
Faisan vénéré,2022,1,1
Faucon crécerelle,2023,180,222
Faucon émerillon,2023,5,9
Faucon hobereau,2023,34,55
Faucon kobez,2023,1,1
Faucon pèlerin,2023,30,18
Fauvette à tête noire,2023,278,328
Fauvette babillarde,2022,11,25
Fauvette des jardins,2023,38,27
Fauvette grisette,2023,129,203
Fou de Bassan,2018,0,21
Foulque macroule,2023,691,1009
Fuligule à bec cerclé,2022,44,2
Fuligule milouin,2023,447,512
Fuligule milouinan,2022,7,7
Fuligule morillon,2023,448,596
Fuligule nyroca,2023,5,8
Fulmar boréal,2014,0,1
Gallinule poule-d'eau,2023,629,880
Garrot à oeil d'or,2023,11,38
Geai des chênes,2023,125,178
Gobemouche gris,2023,39,6
Goéland argenté,2023,371,517
Goéland brun,2023,114,206
Goéland cendré,2023,317,611
Goéland leucophée,2023,41,61
Goéland marin,2023,76,151
Goéland pontique,2022,5,1
Gorgebleue à miroir,2023,97,80
Grand Cormoran,2023,559,848
Grande Aigrette,2023,167,13
Grand Gravelot,2023,49,68
Grand Labbe,2008,0,3
Gravelot à collier interrompu,2021,1,21
Grèbe à cou noir,2023,87,80
Grèbe castagneux,2023,175,382
Grèbe esclavon,2022,2,1
Grèbe huppé,2023,423,655
Grèbe jougris,2021,4,4
Grimpereau des jardins,2023,51,90
Grive draine,2023,29,43
Grive litorne,2021,9,19
Grive mauvis,2023,30,22
Grive musicienne,2023,255,255
Grosbec casse-noyaux,2022,2,5
Guêpier d'Europe,2023,1,0
Guifette leucoptère,2016,0,3
Guifette moustac,2018,0,5
Guifette noire,2023,24,41
Guillemot de Troïl,2019,1,0
Harle bièvre,2022,3,3
Harle huppé,2022,2,5
Harle piette,2022,7,20
Héron cendré,2023,472,687
Héron garde-boeufs,2023,314,76
Héron pourpré,2023,4,8
Hibou des marais,2023,3,5
Hibou moyen-duc,2023,8,1
Hirondelle de fenêtre,2023,65,99
Hirondelle de rivage,2023,167,180
Hirondelle rustique,2023,378,460
Huîtrier pie,2023,203,399
